CLASE_BIEN,DEPTO_HECHO,MUNICIPIO_HECHO,FECHA_HECHO,CLASE_SITIO,DIA_SEMANA,ZONA,CODIGO_DANE,BIEN_UNIDAD_MEDIDA,Droga Incautada/ Cantidad
BASE DE COCA,AMAZONAS,LETICIA (CT),02/20/2019 12:00:00 AM,BODEGAS Y SIMILARES,Miércoles,URBANA,"91,001,000",GRAMO,"16,780"
BASE DE COCA,AMAZONAS,LETICIA (CT),02/23/2019 12:00:00 AM,VIAS PUBLICAS,Sábado,RURAL,"91,001,000",GRAMO,1
BASE DE COCA,AMAZONAS,LETICIA (CT),02/23/2019 12:00:00 AM,VIAS PUBLICAS,Sábado,URBANA,"91,001,000",GRAMO,1
BASE DE COCA,AMAZONAS,LETICIA (CT),02/27/2019 12:00:00 AM,VIAS PUBLICAS,Miércoles,URBANA,"91,001,000",GRAMO,1
BASE DE COCA,AMAZONAS,LETICIA (CT),03/05/2019 12:00:00 AM,VIAS PUBLICAS,Martes,RURAL,"91,001,000",GRAMO,2
BASE DE COCA,AMAZONAS,LETICIA (CT),03/17/2019 12:00:00 AM,VIAS PUBLICAS,Domingo,URBANA,"91,001,000",GRAMO,7
BASE DE COCA,AMAZONAS,LETICIA (CT),04/18/2019 12:00:00 AM,VIAS PUBLICAS,Jueves,URBANA,"91,001,000",GRAMO,7
BASE DE COCA,ANTIOQUIA,ABEJORRAL,02/02/2019 12:00:00 AM,VIAS PUBLICAS,Sábado,URBANA,"5,002,000",GRAMO,6
BASE DE COCA,ANTIOQUIA,ABEJORRAL,02/22/2019 12:00:00 AM,VIAS PUBLICAS,Viernes,URBANA,"5,002,000",GRAMO,180
BASE DE COCA,ANTIOQUIA,AMAGÁ,02/12/2019 12:00:00 AM,VIAS PUBLICAS,Martes,URBANA,"5,030,000",GRAMO,50
BASE DE COCA,ANTIOQUIA,AMAGÁ,02/17/2019 12:00:00 AM,VIAS PUBLICAS,Domingo,URBANA,"5,030,000",GRAMO,15
BASE DE COCA,ANTIOQUIA,AMAGÁ,02/28/2019 12:00:00 AM,INTERIOR VEHICULO SERVICIO PUBLICO,Jueves,RURAL,"5,030,000",GRAMO,20
BASE DE COCA,ANTIOQUIA,AMAGÁ,03/02/2019 12:00:00 AM,FINCAS Y SIMILARES,Sábado,RURAL,"5,030,000",GRAMO,5
BASE DE COCA,ANTIOQUIA,AMAGÁ,03/04/2019 12:00:00 AM,INTERIOR VEHICULO SERVICIO PUBLICO,Lunes,RURAL,"5,030,000",GRAMO,500
BASE DE COCA,ANTIOQUIA,AMAGÁ,03/07/2019 12:00:00 AM,VIAS PUBLICAS,Jueves,URBANA,"5,030,000",GRAMO,12
BASE DE COCA,ANTIOQUIA,AMAGÁ,03/17/2019 12:00:00 AM,FINCAS Y SIMILARES,Domingo,RURAL,"5,030,000",GRAMO,16
BASE DE COCA,ANTIOQUIA,AMAGÁ,03/19/2019 12:00:00 AM,FINCAS Y SIMILARES,Martes,RURAL,"5,030,000",GRAMO,28
BASE DE COCA,ANTIOQUIA,AMAGÁ,03/29/2019 12:00:00 AM,VIAS PUBLICAS,Viernes,URBANA,"5,030,000",GRAMO,16
BASE DE COCA,ANTIOQUIA,AMAGÁ,04/03/2019 12:00:00 AM,INTERIOR VEHICULO SERVICIO PUBLICO,Miércoles,RURAL,"5,030,000",GRAMO,200
BASE DE COCA,ANTIOQUIA,ANDES,03/07/2019 12:00:00 AM,CASAS DE HABITACION,Jueves,URBANA,"5,034,000",GRAMO,13
BASE DE COCA,ANTIOQUIA,ANDES,03/31/2019 12:00:00 AM,FINCAS Y SIMILARES,Domingo,RURAL,"5,034,000",GRAMO,8
