"clase","depto","mpio","fecha","sitio","dia","unidad","cantidad"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-01-03,"VIAS PUBLICAS","Jueves","GRAMO","30"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-01-06,"VIAS PUBLICAS","Domingo","GRAMO","110"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-01-07,"VIAS PUBLICAS","Lunes","GRAMO","45"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-01-09,"VIAS PUBLICAS","Miércoles","GRAMO","100"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-01-12,"VIAS PUBLICAS","Sábado","GRAMO","97"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-01-13,"VIAS PUBLICAS","Domingo","GRAMO","122"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-01-15,"VIAS PUBLICAS","Martes","GRAMO","5"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-01-16,"VIAS PUBLICAS","Miércoles","GRAMO","6"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-01-17,"VIAS PUBLICAS","Jueves","GRAMO","37"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-01-20,"VIAS PUBLICAS","Domingo","GRAMO","128"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-01-21,"VIAS PUBLICAS","Lunes","GRAMO","6"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-01-23,"VIAS PUBLICAS","Miércoles","GRAMO","85"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-01-24,"AEROPUERTO","Jueves","GRAMO","1,200"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-01-24,"VIAS PUBLICAS","Jueves","GRAMO","203"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-01-25,"VIAS PUBLICAS","Viernes","GRAMO","11"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-01-26,"VIAS PUBLICAS","Sábado","GRAMO","10"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-01-27,"VIAS PUBLICAS","Domingo","GRAMO","70"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-01-28,"VIAS PUBLICAS","Lunes","GRAMO","335"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-01-29,"VIAS PUBLICAS","Martes","GRAMO","115"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-01-30,"VIAS PUBLICAS","Miércoles","GRAMO","125"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-01-31,"VIAS PUBLICAS","Jueves","GRAMO","49"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-02-01,"AEROPUERTO","Viernes","GRAMO","2,130"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-02-01,"VIAS PUBLICAS","Viernes","GRAMO","37"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-02-03,"VIAS PUBLICAS","Domingo","GRAMO","120"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-02-05,"VIAS PUBLICAS","Martes","GRAMO","80"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-02-06,"VIAS PUBLICAS","Miércoles","GRAMO","84"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-02-07,"VIAS PUBLICAS","Jueves","GRAMO","264"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-02-08,"VIAS PUBLICAS","Viernes","GRAMO","5"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-02-09,"VIAS PUBLICAS","Sábado","GRAMO","40"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-02-10,"VIAS PUBLICAS","Domingo","GRAMO","9"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-02-11,"VIAS PUBLICAS","Lunes","GRAMO","33"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-02-12,"VIAS PUBLICAS","Martes","GRAMO","5"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-02-13,"VIAS PUBLICAS","Miércoles","GRAMO","610"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-02-15,"DENTRO DE LA VIVIENDA","Viernes","GRAMO","50"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-02-16,"VIAS PUBLICAS","Sábado","GRAMO","30"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-02-17,"VIAS PUBLICAS","Domingo","GRAMO","80"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-02-19,"VIAS PUBLICAS","Martes","GRAMO","56"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-02-20,"VIAS PUBLICAS","Miércoles","GRAMO","1,500"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-02-21,"VIAS PUBLICAS","Jueves","GRAMO","2"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-02-22,"VIAS PUBLICAS","Viernes","GRAMO","23"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-02-23,"VIAS PUBLICAS","Sábado","GRAMO","4,200"
"BASE DE COCA","CUNDINAMARCA","BOGOTÁ D.C. (CT)",2019-02-24,"VIAS PUBLICAS","Domingo","GRAMO","10"
