movie_name,director,year,jump_count,jump_score,netflix,imdb_score
10 Cloverfield Lane,Dan Trachtenberg,2016.0,8.0,2.5,No,7.3
28 Days Later,Danny Boyle,2003.0,10.0,3.0,No,7.6
28 Weeks Later,Juan Carlos Fresnadillo,2007.0,17.0,3.5,No,7.0
30 Days of Night,David Slade,2007.0,9.0,2.5,No,6.6
31,Rob Zombie,2016.0,8.0,2.5,No,5.8
47 Meters Down,Johannes Roberts,2017.0,11.0,3.0,Yes,5.7
1408,Mikael Håfström,2007.0,8.0,3.0,No,6.8
1922,Zak Hilditch,2017.0,2.0,1.0,Yes,6.5
A Cure for Wellness,Gore Verbinski,2016.0,6.0,1.5,No,6.5
A Ghost Story,David Lowery,2017.0,3.0,1.0,No,7.0
A Girl Walks Home Alone at Night,Ana Lily Amirpour,2014.0,0.0,0.0,No,7.1
A Nightmare on Elm Street,Wes Craven,1984.0,11.0,2.5,No,7.5
A Nightmare on Elm Street,Samuel Bayer,2010.0,15.0,3.0,No,5.2
A Nightmare on Elm Street 2: Freddy's Revenge,Jack Sholder,1985.0,8.0,2.0,No,5.3
A Nightmare on Elm Street 3: Dream Warriors,Chuck Russell,1987.0,11.0,2.5,No,6.5
A Quiet Place,John Krasinski,2018.0,14.0,4.0,No,7.8
A Tale of Two Sisters,Jee-woon Kim,2003.0,14.0,3.0,No,7.3
Absentia,Mike Flanagan,2011.0,8.0,2.0,No,5.8
Alien,Ridley Scott,1979.0,11.0,2.5,No,8.5
Alien: Covenant,Ridley Scott,2017.0,6.0,2.0,No,6.7
Alien 3,David Fincher,1992.0,12.0,2.5,No,6.4
Alien: Resurrection,Jean-Pierre Jeunet,1997.0,9.0,3.0,No,6.3
Aliens,James Cameron,1986.0,13.0,3.0,No,8.4
Alone,"Banjong Pisanthanakun, Parkpoom Wongpoom",2007.0,21.0,4.5,No,6.6
Altered States,Ken Russell,1980.0,2.0,0.5,No,6.9
Amityville: The Awakening,Franck Khalfoun,2017.0,11.0,3.0,No,5.2
Amnesiac,Michael Polish,2015.0,1.0,0.5,No,4.3
An American Werewolf in London,James Landis,1981.0,14.0,3.0,No,7.6
An American Werewolf in Paris,Anthony Waller,1997.0,11.0,2.5,No,5.1
Anaconda,Luis Llosa,1997.0,9.0,2.0,No,4.6
Anna,Jorge Dorado,2013.0,5.0,1.0,No,6.5
Annabelle,John R. Leonetti,2014.0,11.0,3.5,No,5.4
Annabelle: Creation,David F. Sandberg,2017.0,23.0,4.5,No,6.8
Annihilation,Alex Garland,2018.0,4.0,1.5,Yes,7.8
Apollo 18,Gonzalo López-Gallego,2011.0,10.0,3.0,No,5.2
Apostle,Gareth Evans,2018.0,5.0,1.5,Yes,6.6
Army of Darkness,Sam Raimi,1992.0,9.0,2.0,No,7.6
Arrival,Denis Villeneuve,2016.0,3.0,0.5,No,7.3
"As Above, So Below",John Erick Dowdle,2014.0,7.0,3.0,Yes,6.1
Attack the Block,Joe Cornish,2011.0,12.0,3.0,No,6.6
Audition,Takashi Miike,1999.0,1.0,0.5,No,7.2
Backcountry,Adam MacDonald,2014.0,4.0,0.5,Yes,6.0
Backtrack,Michael Petroni,2015.0,14.0,3.5,No,5.9
Banshee Chapter,Blair Erickson,2013.0,22.0,5.0,No,5.5
Before I Wake,Mike Flanagan,2016.0,9.0,3.0,Yes,6.1
Berberian Sound Studio,Peter Strickland,2012.0,0.0,0.0,No,6.2
Berlin Syndrome,Cate Shortland,2017.0,1.0,0.5,No,6.3
Better Watch Out,Chris Peckover,2016.0,11.0,2.5,No,6.9
Bird Box,Susanne Bier,2018.0,4.0,0.5,Yes,6.8
Black Christmas,Bob Clark,1974.0,4.0,1.5,No,7.2
Black Swan,Darren Aronofsky,2010.0,10.0,3.0,No,8.0
Blade,Stephen Norrington,1998.0,1.0,1.0,No,7.1
Blair Witch,Adam Wingard,2016.0,18.0,4.0,No,5.0
Bone Tomahawk,S. Craig Zahler,2015.0,0.0,0.0,No,7.1
Bram Stoker's Dracula,Francis Ford Coppola,1992.0,1.0,0.5,No,7.5
Bride of Chucky,Ronny Yu,1998.0,11.0,2.0,No,5.3
Cabin Fever,Eli Roth,2002.0,10.0,2.5,No,5.6
Cam,Daniel Goldhaber,2018.0,1.0,0.5,Yes,6.0
Candyman,Bernard Rose,1992.0,16.0,4.0,No,6.6
Cape Fear,Martin Scorsese,1991.0,4.0,1.5,No,7.3
Cargo,"Ben Howling, Yolanda Ramke",2017.0,2.0,0.5,Yes,6.8
Carrie,Brian De Palma,1976.0,1.0,0.5,No,7.4
Carrie,Kimberly Peirce,2013.0,4.0,1.0,No,5.9
Case 39,Christian Alvart,2009.0,9.0,2.0,No,6.2
Cat People,Jacques Tourneur,1942.0,2.0,1.0,No,7.4
Cell,Tod Williams,2016.0,5.0,2.0,No,4.3
Chernobyl Diaries,Bradley Parker,2012.0,16.0,3.5,Yes,5.0
Children of the Corn,Fritz Kiersch,1984.0,8.0,3.0,No,5.6
Child's Play,Tom Holland,1988.0,8.0,2.5,No,6.5
Cloverfield,Matt Reeves,2008.0,7.0,2.0,No,7.0
Clown,Jon Watts,2014.0,11.0,3.0,No,5.6
Cooties,"Jonathan Milott, Cary Murnion",2014.0,15.0,3.0,No,5.8
Creep,Patrick Kack-Brice,2014.0,10.0,3.0,Yes,6.2
Creep 2,Patrick Brice,2017.0,6.0,2.0,Yes,6.3
Crimson Peak,Guillermo del Toro,2015.0,9.0,2.5,No,6.6
Cube,Vincenzo Natali,1997.0,1.0,0.5,No,7.3
Cujo,Lewis Teague,1983.0,4.0,1.0,No,6.0
Cult of Chucky,Don Mancini,2017.0,14.0,3.5,Yes,5.2
Cyberbully,Ben Chanan,2015.0,1.0,1.0,No,7.0
Dark Shadows,Tim Burton,2012.0,2.0,0.5,No,6.2
Dark Skies,Scott Stewart,2013.0,11.0,2.5,No,6.3
Dark Was The Night,Jack Heller,2014.0,16.0,3.0,No,5.6
Dark Water,Walter Salles,2005.0,7.0,2.0,No,5.5
Dawn of the Dead,Zack Synder,2004.0,10.0,2.0,No,7.4
