"team","local_matches","away_matches","total_matches","friendly_matches","matches_won_home","matches_won_away","matches_draw_home","matches_draw_away","goals_score_home","goals_score_away","goals_against_home","goals_against_away"
"Argentina",233,208,441,186,145,85,59,65,428,292,186,223
"Uruguay",172,244,416,162,99,85,50,65,308,295,148,307
"Korea DPR",91,172,263,71,54,46,19,59,172,208,75,212
"Netherlands",220,177,397,167,131,93,55,41,469,302,160,166
"Brazil",289,248,537,260,211,134,55,62,674,454,190,213
"Curacao",72,64,136,29,28,15,21,15,110,76,86,125
"Tunisia",232,198,430,198,131,54,60,66,408,213,175,244
"Venezuela",140,172,312,138,50,25,39,33,178,126,196,377
"Mexico",356,234,590,282,213,88,82,63,666,326,289,289
"Japan",297,171,468,168,155,75,76,37,533,266,286,191
"Ecuador",165,204,369,182,86,42,42,52,272,185,157,312
"Greece",203,187,390,187,97,66,46,55,279,197,215,227
"Bolivia",141,165,306,111,52,13,44,42,190,110,167,319
"Colombia",193,231,424,184,109,74,46,80,291,244,149,238
"Gambia",97,70,167,64,31,8,35,17,101,45,100,122
"Mali",174,229,403,166,93,64,51,57,269,220,141,303
"Cape Verde",85,69,154,30,40,16,19,16,107,53,81,95
"Guinea-Bissau",57,59,116,17,24,7,14,12,65,42,68,102
"Guinea",140,193,333,108,77,42,37,62,224,189,110,283
"Jordan",187,164,351,169,84,42,60,45,269,166,143,221
"Malaysia",190,141,331,120,81,24,51,32,323,121,220,268
"Peru",161,204,365,151,74,39,41,60,224,172,160,316
"Oman",246,160,406,186,110,46,63,38,368,179,236,247
"Morocco",209,174,383,148,127,52,49,65,362,185,120,171
"Singapore",190,143,333,129,85,31,34,30,303,122,255,236
"Belgium",190,166,356,135,108,61,44,42,361,223,180,223
"Spain",237,198,435,182,167,110,40,53,539,349,149,182
"Indonesia",175,127,302,94,81,22,36,32,321,127,218,264
"Ireland",207,158,365,143,102,52,59,57,318,180,178,166
"Israel",152,131,283,142,61,38,42,30,245,163,200,206
"Bahrain",242,172,414,148,97,45,76,49,332,165,243,245
"Norway",189,209,398,201,83,82,60,49,275,281,169,244
"Finland",153,240,393,181,54,62,39,65,199,236,197,351
"Tahiti",64,64,128,22,39,27,7,10,166,143,79,127
"Liberia",110,89,199,54,46,10,31,12,124,55,100,184
"Saudi Arabia",323,222,545,230,185,81,69,56,589,279,291,276
"Chile",203,223,426,206,121,65,44,54,374,229,188,301
"Luxembourg",154,107,261,92,14,4,28,8,79,38,326,317
"Paraguay",144,253,397,172,79,69,38,75,223,255,128,344
"Qatar",273,179,452,177,129,56,72,45,463,188,267,227
"Syria",121,207,328,139,62,59,28,60,250,241,116,296
"Czechoslovakia",48,64,112,56,28,20,12,19,93,66,42,72
"England",235,200,435,184,140,93,58,66,440,304,157,166
"Iraq",187,227,414,151,103,81,49,69,359,284,153,257
"Romania",198,205,403,181,119,74,41,61,366,272,168,240
"Scotland",158,166,324,107,79,54,39,39,223,161,131,218
"Senegal",175,247,422,168,103,83,49,77,283,273,104,269
"Turkey",171,191,362,156,80,67,41,50,262,220,203,259
"Yugoslavia",36,59,95,39,21,26,8,12,76,81,32,87
"Albania",137,126,263,84,47,19,33,24,148,94,151,243
"Cameroon",202,237,439,143,121,75,50,88,317,273,141,283
"Algeria",225,165,390,149,126,40,54,55,401,150,194,200
"Kenya",218,189,407,135,115,31,54,58,300,159,184,265
"Malta",180,142,322,116,29,10,35,17,143,60,331,399
"Nigeria",182,214,396,140,117,69,42,70,332,226,123,227
"Congo DR",135,189,324,106,73,45,32,67,224,208,116,260
"Zambia",215,302,517,187,113,110,73,80,339,332,143,316
"Ghana",197,246,443,178,116,81,49,70,328,264,151,284
"Zimbabwe",157,239,396,149,84,82,46,61,248,285,128,310
"Ethiopia",160,102,262,66,70,19,45,19,225,94,160,211
"Togo",121,189,310,124,65,33,28,48,175,155,102,306
"Cyprus",159,118,277,81,48,13,38,15,192,79,240,293
"Denmark",197,195,392,160,110,79,48,49,341,248,178,211
"Portugal",210,176,386,149,130,77,49,48,445,245,159,186
"Botswana",139,116,255,128,54,17,40,40,139,72,134,169
"Egypt",290,210,500,240,183,60,57,74,558,205,216,236
"Lesotho",110,99,209,93,25,13,40,27,100,69,134,181
"Swaziland",103,104,207,106,28,17,35,24,96,76,129,203
"Italy",239,187,426,176,141,77,67,64,397,227,167,174
"Malawi",236,176,412,182,96,41,79,48,280,163,214,262
"Mozambique",131,146,277,101,59,30,36,36,178,107,131,209
"Korea Republic",305,249,554,226,166,100,79,74,557,324,229,278
"Kuwait",263,186,449,202,119,60,75,59,426,225,241,225
"New Zealand",96,149,245,121,56,43,15,31,224,156,85,232
"Congo",126,133,259,80,60,27,30,34,170,119,125,199
"Switzerland",190,181,371,176,89,72,52,48,299,235,190,213
"Bulgaria",148,209,357,161,80,64,31,56,256,237,144,298
"France",259,176,435,192,168,89,55,49,503,252,179,152
"Germany",266,222,488,224,169,124,56,50,617,409,245,230
"Northern Ireland",144,146,290,90,55,27,36,46,167,101,165,199
"Poland",219,235,454,261,113,89,58,64,373,310,209,315
"Fiji",104,60,164,67,64,15,17,13,295,73,95,129
"Rwanda",118,110,228,63,52,25,33,23,150,92,112,165
"Hungary",197,179,376,179,81,65,55,30,311,223,229,279
"Sweden",206,247,453,218,118,102,47,67,377,341,170,255
"Australia",201,154,355,154,125,54,34,42,493,203,154,187
"Wales",142,142,284,101,57,43,38,28,181,141,144,208
"German DR",43,59,102,68,26,20,8,11,81,70,44,78
"Austria",192,132,324,146,82,38,46,32,299,174,225,231
"Niger",78,94,172,74,32,9,23,22,97,62,91,181
"Equatorial Guinea",58,52,110,32,24,1,16,8,67,22,60,116
"Suriname",66,97,163,28,37,26,16,31,136,115,81,148
"Haiti",103,143,246,91,42,47,33,27,189,176,101,245
"Liechtenstein",88,94,182,61,9,5,14,8,42,36,222,300
"French Guyana",53,67,120,31,20,17,12,14,93,83,64,113
"Guadeloupe",85,74,159,36,42,27,16,14,168,100,97,111
"Hong Kong",124,91,215,73,50,20,30,20,233,90,163,169
"Angola",157,165,322,121,75,36,53,59,227,143,135,208
"Barbados",109,79,188,72,42,26,36,9,154,104,129,145
"Dominica",57,66,123,30,17,11,12,14,72,65,106,141
"St. Vincent and the Grenadines",44,46,90,26,25,14,7,13,88,73,52,78
"Reunion",26,17,43,32,8,10,7,5,46,30,42,16
"Madagascar",72,77,149,32,29,20,22,14,87,70,75,126
"Benin",96,102,198,82,31,11,29,22,118,78,134,216
"Trinidad and Tobago",224,218,442,187,126,65,41,47,452,274,226,333
"Martinique",102,96,198,51,55,34,24,29,216,135,101,138
"El Salvador",200,156,356,160,75,27,50,35,266,116,247,280
"Uganda",193,213,406,128,110,54,55,70,325,207,138,270
"Iceland",151,186,337,148,63,50,33,38,209,204,174,298
"India",160,106,266,75,66,23,39,21,241,99,217,217
"Burkina Faso",164,169,333,160,78,30,48,48,249,126,174,250
"Russia",188,228,416,178,110,93,48,68,357,320,151,238
"China",260,186,446,181,135,65,66,45,489,245,232,228
"Puerto Rico",37,42,79,14,11,7,10,6,62,34,56,100
